#r(*10^3kpc)	a_total(m/s^2)	aerr_total(m/s^2)	a_baryon(m/s^2)	
0.019947	2.1968608727837354e-10	8.356261484858463e-12	1.9400340158800898e-10
0.021468	2.1704676276414138e-10	3.595054761269764e-12	1.6807706834642277e-10
0.023291	2.1393578247460268e-10	9.033098434790924e-12	1.4344821021866573e-10
0.026883	2.0829809779223058e-10	9.767903977662946e-12	1.0876420124331391e-10
0.030223	2.0329410023478425e-10	8.712235001529824e-12	8.697141705293424e-11
0.033644	1.9835935421577642e-10	7.406115065908218e-12	7.103771350558318e-11
0.03699	1.9401138291466297e-10	1.0450024126756412e-11	5.953541963613201e-11
0.040240000000000005	1.890686286813899e-10	1.8603188103020515e-12	5.099940642181872e-11
0.040416	1.8883830790088585e-10	9.448238576721155e-12	5.059510631556342e-11
0.043842	1.8523874851077012e-10	9.985438982966068e-12	4.367046903905567e-11
0.047269	1.80946027425785e-10	8.002239398830347e-12	3.8197048484241324e-11
0.050778	1.7700799938360654e-10	8.235612108004291e-12	3.370343001361888e-11
0.0596	1.6747991060333418e-10	1.8593191446858897e-12	2.5710546905533072e-11
0.079694	1.488815768697858e-10	1.8317348760611595e-12	1.6403233544589783e-11
0.09983199999999999	1.3364903040842192e-10	2.3006655019105513e-12	1.2130829088087906e-11
0.119993	1.208711886216776e-10	2.275740593795103e-12	9.821953676055905e-12
0.13942	1.1043889694698116e-10	2.346402629951431e-12	8.470005751212192e-12
0.158905	1.014222618075374e-10	2.8587057693534507e-12	7.570436113522108e-12
0.179091	9.333996021761435e-11	3.0748453754609065e-12	6.9165366265244894e-12
0.19928	8.630279135997894e-11	2.192238095609519e-12	6.4350921850234134e-12
0.219472	8.010817052403147e-11	1.328587590427118e-12	6.063482444965968e-12
0.24188	7.411605217667519e-11	3.4751717724685925e-12	5.735601363215069e-12
