#r(*10^3kpc)	a_total(m/s^2)	aerr_total(m/s^2)	a_baryon(m/s^2)	
0.00892465179190631	1.114919850873454e-09	2.6663331899256024e-11	5.165808605122646e-10
0.012129685221197546	8.300578266125834e-10	2.431268895654135e-11	2.844684824830715e-10
0.01577868796668754	6.468000921052792e-10	2.1184955174156783e-11	1.7139871550141555e-10
0.021800576218208544	4.716056901123322e-10	1.6885298750249196e-11	9.269083264648556e-11
0.03181714255178329	3.156745948574077e-10	1.2023622386685292e-11	4.585827533230702e-11
0.0479879330647802	2.026696661260594e-10	8.055430087138317e-12	2.1901638953957372e-11
0.07520733444167096	1.205100619796792e-10	4.9160943800033385e-12	1.0190355539180286e-11
0.1178659465533965	6.953493248205026e-11	2.874774524560379e-12	5.023501838623409e-12
0.19727490344832213	3.5818301213548715e-11	1.488857656056173e-12	2.4075635727276823e-12
0.32658490505039434	1.797370665329977e-11	7.458151207252449e-13	1.237228706096818e-12
0.5203111039515455	9.225420748319678e-12	3.794915201385098e-13	7.094343041557138e-13
