#r(*10^3kpc)	a_total(m/s^2)	aerr_total(m/s^2)	a_baryon(m/s^2)	
0.013545	1.8490485190566653e-10	2.9074634334890806e-12	1.8418978494691166e-10
0.014414999999999999	1.8217650238408306e-10	2.0995040477801328e-12	1.63009205249865e-10
0.025115	1.5450854452937034e-10	3.609003422235595e-12	5.5900710196904366e-11
0.042886	1.2066126699485622e-10	2.3094709215492965e-12	2.107690592854881e-11
0.048629	1.1278109957844476e-10	2.4565356296475646e-12	1.6974952794931328e-11
0.068285	9.014154225241596e-11	2.792808811605486e-12	9.806836689026978e-12
0.092959	7.12910473690279e-11	1.4032293189870473e-12	6.342635753216597e-12
0.10633400000000001	6.37291190945194e-11	2.3852775350822778e-12	5.37014793915114e-12
0.14355400000000001	4.830166788841742e-11	1.270410898693072e-12	3.924292223279937e-12
0.21460200000000001	3.21045981701874e-11	1.0072118463672788e-12	2.9270329033242757e-12
0.31657100000000005	2.0563847691365174e-11	4.4868539535455343e-13	2.516950037972799e-12
0.45628300000000005	1.4766813287536663e-11	6.683083629084573e-13	2.464094776433016e-12
